REGION,States/UTs,District,Year,CRIME_TYPE,COUNT
Telangana (state),Telangana,Adilabad,2014,Acid attack,0
Telangana (state),Telangana,Adilabad,2014,Arson,37
Telangana (state),Telangana,Adilabad,2014,Assault on Women with intent to outrage her Modesty,244
Telangana (state),Telangana,Adilabad,2014,Assault or use of criminal force to women with intent to Disrobe,17
Telangana (state),Telangana,Adilabad,2014,At Office premises,0
Telangana (state),Telangana,Adilabad,2014,Attempt to Acid Attack,0
Telangana (state),Telangana,Adilabad,2014,Attempt to commit Culpable Homicide,0
Telangana (state),Telangana,Adilabad,2014,Attempt to commit Murder,79
Telangana (state),Telangana,Adilabad,2014,Attempt to commit Rape,13
Telangana (state),Telangana,Adilabad,2014,Auto Theft,136
Telangana (state),Telangana,Adilabad,2014,Causing Death by Negligence,399
Telangana (state),Telangana,Adilabad,2014,Cheating,223
Telangana (state),Telangana,Adilabad,2014,Counterfeit Offences related to Counterfeit Coin,0
Telangana (state),Telangana,Adilabad,2014,Counterfeit currency & Bank notes,3
Telangana (state),Telangana,Adilabad,2014,Counterfeiting,3
Telangana (state),Telangana,Adilabad,2014,Counterfeiting Government Stamp,0
Telangana (state),Telangana,Adilabad,2014,Counterfeiting currency notes/Bank notes,1
Telangana (state),Telangana,Adilabad,2014,Criminal Breach of Trust,43
Telangana (state),Telangana,Adilabad,2014,Criminal Trespass or Burglary,234
Telangana (state),Telangana,Adilabad,2014,Criminal Trespass/Burglary,292
Telangana (state),Telangana,Adilabad,2014,Cruelty by Husband or his Relatives,384
Telangana (state),Telangana,Adilabad,2014,Culpable Homicide not amounting to Murder,17
Telangana (state),Telangana,Adilabad,2014,Custodial Rape,0
Telangana (state),Telangana,Adilabad,2014,Custodial_Gang Rape,0
Telangana (state),Telangana,Adilabad,2014,Custodial_Other Rape,0
Telangana (state),Telangana,Adilabad,2014,Dacoity,1
Telangana (state),Telangana,Adilabad,2014,Dacoity with Murder,0
Telangana (state),Telangana,Adilabad,2014,Deaths due to Other Causes,1
Telangana (state),Telangana,Adilabad,2014,Deaths due to negligent driving/act,398
Telangana (state),Telangana,Adilabad,2014,Disclosure of Identity of Victims,0
Telangana (state),Telangana,Adilabad,2014,Dowry Deaths,16
Telangana (state),Telangana,Adilabad,2014,Extortion,15
Telangana (state),Telangana,Adilabad,2014,Forgery,0
Telangana (state),Telangana,Adilabad,2014,Grievous Hurt,61
Telangana (state),Telangana,Adilabad,2014,House Trespass & House Breaking,58
Telangana (state),Telangana,Adilabad,2014,HumanTrafficking,0
Telangana (state),Telangana,Adilabad,2014,Hurt,61
Telangana (state),Telangana,Adilabad,2014,Importation of Girls from Foreign Country,0
Telangana (state),Telangana,Adilabad,2014,"Imputation, assertions prejudicial to national integration",0
Telangana (state),Telangana,Adilabad,2014,In Public Transport system,0
